Transaction_ID,Card_ID,Transaction_Amount,Merchant,Transaction_Type,Average_Transaction_Per_Day,Accumulated_Transactions,Average_Transaction_Amount,Accumulated_Amount,Transaction_Location,Previous_Location,Time_Difference (min),Is_Fraudulent
T358707,C64276,702.18,Zephora,E-Commerce,2,33,545.8,828.21,Ecuador,Ecuador,95.0,0
T115492,C48364,861.52,G2A,E-Commerce,38,11,406.46,802.51,Ecuador,Ecuador,119.0,0
T131882,C85832,227.95,Epic Games,E-Commerce,3,16,123.72,618.86,Ecuador,Ecuador,5.0,0
T745890,C35599,321.1,Booking,E-Commerce,20,37,254.45,80.43,Ecuador,Ecuador,15.0,0
T207733,C70564,648.96,Amazon,E-Commerce,23,24,585.71,272.14,Ecuador,Ecuador,10.0,0
T686035,C36157,68.82,LATAM,E-Commerce,12,30,568.61,445.99,Ecuador,Ecuador,91.0,0
T115452,C87390,616.25,Tiffany & Co.,E-Commerce,38,34,632.73,939.41,Ecuador,Ecuador,63.0,0
T805671,C73453,778.59,Walmart,E-Commerce,21,28,474.69,99.82,Ecuador,Ecuador,43.0,0
T939153,C84498,758.98,Epic Games,E-Commerce,38,39,253.22,81.63,Ecuador,Ecuador,71.0,0
T323305,C86918,401.9,G2A,E-Commerce,25,4,585.56,563.01,Ecuador,Ecuador,37.0,0
T186449,C96536,848.78,Booking,E-Commerce,37,9,567.06,283.5,Ecuador,Ecuador,110.0,0
T332121,C26036,797.14,Delta Airlines,E-Commerce,8,31,172.35,767.08,Ecuador,Ecuador,9.0,0
T337218,C52134,517.26,Zales,E-Commerce,10,16,78.32,877.84,Ecuador,Ecuador,68.0,0
T635996,C88545,686.27,LATAM,E-Commerce,3,10,326.07,595.2,Ecuador,Ecuador,92.0,0
T801418,C73731,990.16,Tiffany & Co.,E-Commerce,13,15,74.16,87.57,Ecuador,Ecuador,92.0,0
T522165,C82521,818.79,Cartier,E-Commerce,5,10,924.36,154.57,Ecuador,Ecuador,53.0,0
T551232,C64095,288.9,LATAM,E-Commerce,19,23,430.16,368.41,Ecuador,Ecuador,76.0,0
T458865,C59674,623.99,Walmart,E-Commerce,34,6,28.47,703.68,Ecuador,Ecuador,39.0,0
T313451,C34693,967.2,Steam,E-Commerce,30,22,497.1,593.92,Ecuador,Ecuador,84.0,0
T638298,C51379,404.86,Zephora,E-Commerce,14,21,830.27,564.24,Ecuador,Ecuador,15.0,0
T366756,C23021,10.47,Tiffany & Co.,E-Commerce,32,35,629.02,359.84,Ecuador,Ecuador,34.0,0
T776225,C76443,444.13,Shein,E-Commerce,20,29,91.06,935.97,Ecuador,Ecuador,50.0,0
T876427,C58761,127.36,Amazon Gift Cards,E-Commerce,19,17,924.48,672.05,Ecuador,Ecuador,46.0,0
T577616,C78349,715.57,eBay,E-Commerce,7,15,395.17,228.89,Ecuador,Ecuador,64.0,0
T894431,C30170,421.95,Walmart,E-Commerce,32,12,36.03,931.88,Ecuador,Ecuador,101.0,0
T359802,C71555,508.29,Tiffany & Co.,E-Commerce,27,19,735.9,718.77,Ecuador,Ecuador,64.0,0
T621366,C33282,885.4,Steam,E-Commerce,23,2,411.66,103.99,Ecuador,Ecuador,48.0,0
T684629,C21506,977.33,G2A,E-Commerce,6,23,858.04,712.27,Ecuador,Ecuador,84.0,0
T909058,C61652,92.51,Steam,E-Commerce,24,35,222.53,594.8,Ecuador,Ecuador,45.0,0
T263162,C10076,532.89,Shein,E-Commerce,22,18,101.69,609.63,Ecuador,Ecuador,18.0,0
T119568,C68047,957.13,Amazon Gift Cards,E-Commerce,3,2,265.1,218.76,Ecuador,Ecuador,56.0,0
T730619,C16645,463.83,Shein,E-Commerce,15,18,253.45,655.84,Ecuador,Ecuador,56.0,0
T660282,C19993,50.12,LATAM,E-Commerce,37,10,755.86,96.34,Ecuador,Ecuador,45.0,0
T548945,C97678,63.17,Epic Games,E-Commerce,29,4,971.6,529.52,Ecuador,Ecuador,90.0,0
T706956,C90706,654.43,Walmart,E-Commerce,27,17,544.58,399.91,Ecuador,Ecuador,96.0,0
T945468,C98422,859.25,LATAM,E-Commerce,33,11,685.47,600.68,Ecuador,Ecuador,44.0,0
T814923,C90379,169.23,Shein,E-Commerce,32,24,806.57,172.41,Ecuador,Ecuador,10.0,0
T939277,C53007,116.92,Cartier,E-Commerce,5,27,618.14,34.59,Ecuador,Ecuador,43.0,0
T962132,C18643,883.7,Zales,E-Commerce,6,24,841.97,492.46,Colombia,Ecuador,13.0,1
T843530,C52793,746.34,eBay,E-Commerce,24,7,417.02,308.89,Colombia,Colombia,81.0,0
T365079,C84044,169.33,Delta Airlines,E-Commerce,24,8,429.75,384.96,Colombia,Colombia,8.0,0
T560745,C82991,488.7,LATAM,E-Commerce,33,38,933.36,586.89,Colombia,Colombia,57.0,0
T476326,C13841,427.25,Walmart,E-Commerce,22,18,602.42,82.49,Colombia,Colombia,100.0,0
T769000,C88211,22.1,Walmart,E-Commerce,19,27,237.42,867.23,Colombia,Colombia,24.0,0
T741217,C61081,571.31,Amazon,E-Commerce,3,21,612.49,429.38,Colombia,Colombia,45.0,0
T128950,C81226,860.81,LATAM,E-Commerce,6,11,317.63,793.81,Colombia,Colombia,46.0,0
T721916,C50489,370.57,eBay,E-Commerce,21,18,171.83,588.19,Ecuador,Colombia,84.0,0
T587862,C47253,973.55,Walmart,E-Commerce,22,39,389.94,326.88,Chile,Ecuador,110.0,1
T902106,C10606,964.98,G2A,E-Commerce,38,22,223.8,581.82,Ecuador,Chile,14.0,0
T924692,C57679,513.32,Delta Airlines,E-Commerce,27,25,671.26,74.79,Ecuador,Ecuador,20.0,0
T356652,C66610,646.84,Tiffany & Co.,E-Commerce,17,35,418.87,772.9,Ecuador,Ecuador,8.0,0
T345049,C90808,558.68,Walmart,E-Commerce,15,39,119.52,744.87,Brazil,Ecuador,98.0,1
T313355,C90445,710.08,Walmart,E-Commerce,28,23,738.04,973.67,Brazil,Brazil,95.0,0
T697862,C15885,311.04,Tiffany & Co.,E-Commerce,23,31,687.03,451.49,Brazil,Brazil,92.0,0
T165548,C74969,495.18,LATAM,E-Commerce,3,22,26.47,877.04,Brazil,Brazil,108.0,0
T414716,C67815,400.28,Delta Airlines,E-Commerce,22,29,742.53,745.53,Brazil,Brazil,17.0,0
T793127,C14698,114.31,Amazon,E-Commerce,5,9,453.23,505.83,Brazil,Brazil,32.0,0
T533246,C52783,655.8,Shein,E-Commerce,29,22,34.1,854.03,Brazil,Brazil,70.0,0
T182219,C63548,875.0,Epic Games,E-Commerce,23,17,587.91,177.8,Brazil,Brazil,12.0,0
T424236,C82830,993.83,Delta Airlines,E-Commerce,29,39,467.09,233.79,Brazil,Brazil,36.0,0
T778312,C13021,352.19,Zephora,E-Commerce,8,28,478.89,817.99,Brazil,Brazil,96.0,0
T229480,C68957,49.5,LATAM,E-Commerce,26,33,233.38,928.81,Ecuador,Brazil,3.0,1
T787448,C99806,455.08,Walmart,E-Commerce,30,14,845.37,786.66,Ecuador,Ecuador,62.0,0
T845004,C14028,649.93,LATAM,E-Commerce,33,13,910.41,289.85,Ecuador,Ecuador,50.0,0
T983065,C51970,439.21,Zephora,E-Commerce,38,16,45.05,141.75,Ecuador,Ecuador,87.0,0
T100552,C21911,796.14,Shein,E-Commerce,38,3,496.0,158.05,Ecuador,Ecuador,51.0,0
T882173,C44582,543.53,Amazon Gift Cards,E-Commerce,14,11,153.82,301.15,Ecuador,Ecuador,25.0,0
T616746,C17060,508.73,Amazon,E-Commerce,6,35,130.65,821.04,Ecuador,Ecuador,117.0,0
T471633,C86287,976.94,Steam,E-Commerce,22,24,35.51,139.73,Ecuador,Ecuador,42.0,0
T914303,C30736,311.41,Booking,E-Commerce,19,36,61.75,254.05,Peru,Ecuador,28.0,0
T604479,C32293,84.88,Steam,E-Commerce,17,17,283.22,800.31,Peru,Peru,22.0,0
T785034,C81967,609.57,Amazon,E-Commerce,37,18,554.23,281.0,Peru,Peru,83.0,0
T695021,C17742,220.68,Walmart,E-Commerce,31,38,553.33,532.82,Ecuador,Peru,50.0,0
T423452,C73237,45.6,G2A,E-Commerce,18,21,992.74,73.99,Ecuador,Ecuador,117.0,0
T169237,C42798,114.22,Amazon Gift Cards,E-Commerce,19,5,48.54,631.95,Ecuador,Ecuador,103.0,0
T791727,C11852,966.1,Zales,E-Commerce,2,1,359.23,404.66,Ecuador,Ecuador,62.0,0
T191492,C37097,520.65,Zales,E-Commerce,27,39,416.93,312.33,Ecuador,Ecuador,28.0,0
T736522,C52629,923.83,Booking,E-Commerce,19,14,27.71,625.57,Ecuador,Ecuador,43.0,0
T900627,C36589,630.6,Amazon,E-Commerce,21,10,808.54,531.56,Ecuador,Ecuador,100.0,0
T373807,C67722,834.76,Epic Games,E-Commerce,36,25,124.71,354.65,Ecuador,Ecuador,96.0,0
T193821,C74025,794.97,Zephora,E-Commerce,34,6,759.91,16.1,Ecuador,Ecuador,1.0,0
T916244,C89258,110.8,Cartier,E-Commerce,10,27,554.51,393.28,Ecuador,Ecuador,51.0,0
T485039,C79830,254.6,eBay,E-Commerce,1,26,97.39,569.99,Ecuador,Ecuador,112.0,0
T356824,C55242,33.4,Amazon Gift Cards,E-Commerce,35,4,837.1,995.09,Ecuador,Ecuador,34.0,0
T245901,C23403,953.46,Delta Airlines,E-Commerce,14,22,20.64,401.29,Ecuador,Ecuador,73.0,0
T136966,C27795,956.7,Cartier,E-Commerce,3,12,314.72,474.9,Ecuador,Ecuador,106.0,0
T596748,C65011,815.76,Zephora,E-Commerce,37,28,349.47,310.78,Ecuador,Ecuador,17.0,0
T177401,C54874,593.36,Epic Games,E-Commerce,14,30,674.54,392.32,Ecuador,Ecuador,49.0,0
T850725,C40370,206.81,Zales,E-Commerce,38,9,489.46,783.55,Ecuador,Ecuador,101.0,0
T288466,C15164,651.23,Amazon,E-Commerce,38,19,295.06,146.97,Ecuador,Ecuador,51.0,0
T405866,C22837,661.83,Cartier,E-Commerce,27,4,329.61,668.21,Ecuador,Ecuador,104.0,0
T572580,C85772,326.03,Cartier,E-Commerce,1,25,200.43,832.46,Ecuador,Ecuador,103.0,0
T162244,C43742,500.53,LATAM,E-Commerce,3,14,777.11,312.75,Ecuador,Ecuador,96.0,0
T808109,C53731,284.03,American Airlines,E-Commerce,6,9,733.15,44.54,Ecuador,Ecuador,5.0,0
T608033,C99761,362.69,Cartier,E-Commerce,33,10,997.22,82.26,Ecuador,Ecuador,109.0,0
T767859,C86169,501.61,Zales,E-Commerce,15,10,229.93,656.31,Ecuador,Ecuador,44.0,0
T665595,C62261,701.86,Amazon,E-Commerce,7,23,770.76,909.16,Ecuador,Ecuador,35.0,0
T159867,C35358,890.77,Epic Games,E-Commerce,15,29,978.13,378.54,Ecuador,Ecuador,52.0,0
T365389,C35996,929.0,Zephora,E-Commerce,25,22,159.54,357.37,Ecuador,Ecuador,103.0,0
T161345,C15003,748.93,Tiffany & Co.,E-Commerce,10,9,28.26,236.51,Peru,Ecuador,98.0,0
T471285,C12519,598.27,Tiffany & Co.,E-Commerce,2,23,96.77,89.58,Peru,Peru,54.0,0
T504248,C58990,125.6,Amazon,E-Commerce,21,23,790.08,785.37,Peru,Peru,65.0,0
T558654,C97950,911.22,American Airlines,E-Commerce,36,36,616.54,643.35,Peru,Peru,27.0,0
T906216,C40698,940.9,Cartier,E-Commerce,38,32,153.04,980.59,Peru,Peru,17.0,0
T226823,C13195,574.62,Delta Airlines,E-Commerce,14,14,935.54,833.05,Peru,Peru,115.0,0
T823593,C17756,268.26,Booking,E-Commerce,23,32,597.6,19.39,Peru,Peru,73.0,0
T937130,C54276,957.1,Walmart,E-Commerce,29,7,461.36,326.67,Peru,Peru,119.0,0
T750910,C66347,5.94,Walmart,E-Commerce,6,11,448.7,476.06,Peru,Peru,34.0,0
T623017,C69119,390.29,Steam,E-Commerce,39,17,809.66,772.03,Peru,Peru,92.0,0
T725413,C90056,728.22,Cartier,E-Commerce,23,26,439.59,709.38,Peru,Peru,103.0,0
T837359,C53765,754.59,Cartier,E-Commerce,35,7,865.51,407.57,Peru,Peru,29.0,0
T939291,C13217,224.65,eBay,E-Commerce,38,5,628.83,503.56,Ecuador,Peru,67.0,0
T241722,C32620,113.98,Delta Airlines,E-Commerce,31,10,726.43,927.59,Ecuador,Ecuador,68.0,0
T524212,C49960,973.9,LATAM,E-Commerce,6,36,517.05,55.14,Ecuador,Ecuador,69.0,0
T982589,C73928,572.21,Amazon,E-Commerce,27,3,345.15,97.28,Ecuador,Ecuador,61.0,0
T772106,C99903,893.83,Tiffany & Co.,E-Commerce,31,34,25.57,993.43,Ecuador,Ecuador,67.0,0
T630856,C86750,543.89,Zales,E-Commerce,6,27,990.94,177.15,Ecuador,Ecuador,38.0,0
T732101,C70190,865.24,American Airlines,E-Commerce,32,13,884.69,813.37,Ecuador,Ecuador,117.0,0
T237288,C79297,642.89,Tiffany & Co.,E-Commerce,11,7,765.82,207.69,Ecuador,Ecuador,17.0,0
T293260,C76918,961.25,Walmart,E-Commerce,17,15,741.7,707.44,Ecuador,Ecuador,56.0,0
T697787,C74964,924.88,eBay,E-Commerce,23,4,78.99,571.22,Ecuador,Ecuador,43.0,0
T242134,C19403,973.05,eBay,E-Commerce,12,4,129.54,24.8,Peru,Ecuador,55.0,0
T543887,C38554,769.6,Walmart,E-Commerce,30,32,658.27,900.43,Peru,Peru,17.0,0
T149585,C21158,491.67,Walmart,E-Commerce,6,2,319.17,536.74,Peru,Peru,73.0,0
T517316,C97867,240.48,Zales,E-Commerce,14,10,20.41,42.84,Peru,Peru,56.0,0
T369915,C75038,237.45,Amazon,E-Commerce,39,5,155.46,973.56,Peru,Peru,40.0,0
T647714,C79182,105.7,Amazon,E-Commerce,35,35,816.77,511.71,Peru,Peru,46.0,0
T473593,C68102,810.37,Steam,E-Commerce,11,26,30.25,933.18,Peru,Peru,97.0,0
T929399,C33737,782.26,Zephora,E-Commerce,21,36,225.63,291.35,Peru,Peru,11.0,0
T554577,C61004,101.81,Amazon,E-Commerce,28,18,983.61,379.28,Peru,Peru,26.0,0
T268866,C76324,206.27,Shein,E-Commerce,30,5,372.27,691.27,Peru,Peru,56.0,0
T800983,C28373,199.83,Shein,E-Commerce,25,19,418.47,643.82,Peru,Peru,38.0,0
T241296,C95169,255.01,Delta Airlines,E-Commerce,23,39,157.58,445.16,Ecuador,Peru,32.0,0
T900910,C68768,106.23,LATAM,E-Commerce,26,4,672.27,276.34,Ecuador,Ecuador,16.0,0
T139439,C66202,337.9,Amazon,E-Commerce,38,33,862.72,523.75,Ecuador,Ecuador,112.0,0
T143471,C86261,133.95,Amazon,E-Commerce,24,25,738.62,941.41,Ecuador,Ecuador,24.0,0
T811159,C62361,902.9,Zales,E-Commerce,10,25,118.9,142.27,Ecuador,Ecuador,96.0,0
T152894,C64319,507.42,Zales,E-Commerce,21,7,857.75,675.18,Ecuador,Ecuador,116.0,0
T208411,C41050,687.4,Zales,E-Commerce,36,16,229.01,570.86,Ecuador,Ecuador,72.0,0
T623156,C82870,508.52,Steam,E-Commerce,23,15,865.82,167.88,Ecuador,Ecuador,38.0,0
T193927,C61193,33.34,Delta Airlines,E-Commerce,38,33,77.65,705.99,Ecuador,Ecuador,27.0,0
T250667,C66261,251.82,Walmart,E-Commerce,39,24,387.49,114.04,Ecuador,Ecuador,73.0,0
T191769,C47583,318.0,eBay,E-Commerce,34,10,198.49,116.03,Ecuador,Ecuador,70.0,0
T969209,C35236,328.8,Shein,E-Commerce,24,30,195.79,117.68,Ecuador,Ecuador,79.0,0
T585406,C82891,164.08,American Airlines,E-Commerce,7,8,819.69,294.44,Ecuador,Ecuador,95.0,0
T561000,C24809,995.71,eBay,E-Commerce,2,31,647.16,517.64,Ecuador,Ecuador,90.0,0
T154506,C90816,999.99,Epic Games,E-Commerce,34,21,587.98,285.76,Ecuador,Ecuador,50.0,0
T286036,C27823,551.43,Delta Airlines,E-Commerce,23,16,3.71,38.81,Ecuador,Ecuador,30.0,0
T622041,C34457,797.77,eBay,E-Commerce,8,39,499.84,311.23,Ecuador,Ecuador,44.0,0
T819887,C74680,933.65,Epic Games,E-Commerce,22,35,576.8,603.69,Ecuador,Ecuador,112.0,0
T704385,C59662,850.87,eBay,E-Commerce,38,17,902.13,376.94,Ecuador,Ecuador,51.0,0
T906317,C64127,689.28,Tiffany & Co.,E-Commerce,15,34,985.4,162.07,Ecuador,Ecuador,91.0,0
T321609,C31755,583.9,G2A,E-Commerce,9,18,357.74,753.3,Ecuador,Ecuador,32.0,0
T695648,C23575,871.74,LATAM,E-Commerce,36,19,712.01,595.56,Ecuador,Ecuador,55.0,0
T146395,C73593,647.11,Delta Airlines,E-Commerce,24,9,485.82,196.48,Ecuador,Ecuador,53.0,0
T243194,C68656,474.84,Shein,E-Commerce,3,5,328.84,988.2,Ecuador,Ecuador,27.0,0
T926181,C85816,766.88,Cartier,E-Commerce,2,5,518.02,384.97,Ecuador,Ecuador,99.0,0
T669159,C76695,627.19,LATAM,E-Commerce,20,39,510.03,623.0,Ecuador,Ecuador,94.0,0
T312694,C41843,226.22,Zales,E-Commerce,28,22,395.33,407.13,Ecuador,Ecuador,98.0,0
T949530,C50810,526.05,Amazon Gift Cards,E-Commerce,29,7,900.49,935.54,Ecuador,Ecuador,96.0,0
T110078,C20923,566.84,Zephora,E-Commerce,23,31,535.27,894.61,Ecuador,Ecuador,83.0,0
T250472,C38413,751.82,Zephora,E-Commerce,8,36,860.91,450.51,Ecuador,Ecuador,14.0,0
T856181,C73121,693.06,Zales,E-Commerce,14,21,897.13,506.52,Ecuador,Ecuador,24.0,0
T336209,C63159,648.88,Delta Airlines,E-Commerce,38,27,623.59,64.5,Ecuador,Ecuador,22.0,0
T791276,C77397,293.24,Amazon Gift Cards,E-Commerce,5,16,850.09,332.72,Ecuador,Ecuador,74.0,0
T798880,C60040,671.91,Cartier,E-Commerce,6,3,69.56,929.65,Ecuador,Ecuador,1.0,0
T651111,C13319,932.2,Walmart,E-Commerce,21,20,357.82,603.54,Ecuador,Ecuador,101.0,0
T545168,C31317,789.81,Cartier,E-Commerce,20,35,134.76,227.25,Ecuador,Ecuador,42.0,0
T495295,C53333,952.1,Zephora,E-Commerce,16,19,833.77,325.2,Ecuador,Ecuador,28.0,0
T913557,C39218,446.4,Zephora,E-Commerce,25,14,247.23,10.55,Ecuador,Ecuador,74.0,0
T658262,C17253,540.49,G2A,E-Commerce,24,9,640.16,656.03,Ecuador,Ecuador,97.0,0
T193829,C76160,609.92,G2A,E-Commerce,20,38,64.25,746.5,Ecuador,Ecuador,59.0,0
T254488,C89487,865.27,American Airlines,E-Commerce,36,23,57.66,121.62,Ecuador,Ecuador,73.0,0
T223362,C74936,330.06,Steam,E-Commerce,18,11,561.62,313.82,Brazil,Ecuador,88.0,0
T702079,C88352,107.54,Steam,E-Commerce,25,20,137.81,801.68,Brazil,Brazil,111.0,0
T586028,C66383,1.67,Tiffany & Co.,E-Commerce,14,4,206.59,754.59,Brazil,Brazil,118.0,0
T921236,C28543,246.58,Zales,E-Commerce,17,3,732.43,799.37,Brazil,Brazil,40.0,0
T214926,C51778,78.65,eBay,E-Commerce,20,18,556.48,86.22,Brazil,Brazil,100.0,0
T458440,C24625,862.86,Walmart,E-Commerce,28,26,179.78,120.97,Brazil,Brazil,41.0,0
T885684,C44963,12.6,Booking,E-Commerce,29,16,19.66,815.76,Brazil,Brazil,80.0,0
T749683,C73903,155.12,American Airlines,E-Commerce,27,22,95.82,227.52,Brazil,Brazil,46.0,0
T520135,C97483,491.17,American Airlines,E-Commerce,34,10,161.55,537.37,Brazil,Brazil,94.0,0
T233440,C67200,217.53,LATAM,E-Commerce,38,11,229.08,529.33,Brazil,Brazil,40.0,0
T759679,C83933,819.07,Shein,E-Commerce,39,8,136.52,177.66,Brazil,Brazil,34.0,0
T673002,C98172,163.28,Tiffany & Co.,E-Commerce,28,21,954.31,12.53,Ecuador,Brazil,69.0,0
T614539,C56437,705.69,Zales,E-Commerce,19,1,922.22,842.96,Ecuador,Ecuador,15.0,0
T124671,C58173,299.62,Walmart,E-Commerce,27,23,127.26,434.82,Ecuador,Ecuador,23.0,0
T442996,C96130,449.82,Zales,E-Commerce,38,29,825.65,981.69,Ecuador,Ecuador,50.0,0
T945973,C32024,600.41,Shein,E-Commerce,11,17,593.96,378.04,Ecuador,Ecuador,96.0,0
T968675,C96810,507.62,Cartier,E-Commerce,32,13,16.89,712.19,Ecuador,Ecuador,99.0,0
T600954,C98778,851.93,Shein,E-Commerce,29,11,817.18,632.09,Ecuador,Ecuador,76.0,0
T152950,C31396,281.97,LATAM,E-Commerce,36,16,575.43,19.12,Ecuador,Ecuador,36.0,0
T597319,C49231,978.76,Zales,E-Commerce,12,39,905.19,981.21,Ecuador,Ecuador,81.0,0
T802357,C61975,340.1,Steam,E-Commerce,24,2,744.17,664.55,Ecuador,Ecuador,104.0,0
T955583,C34230,187.11,eBay,E-Commerce,32,3,420.53,788.76,Ecuador,Ecuador,15.0,0
T585012,C46712,777.81,Tiffany & Co.,E-Commerce,27,39,533.54,510.0,Ecuador,Ecuador,10.0,0
T791445,C42864,744.5,Amazon,E-Commerce,16,26,289.43,958.45,Ecuador,Ecuador,89.0,0
T498741,C75776,219.25,American Airlines,E-Commerce,19,30,513.77,342.16,Ecuador,Ecuador,88.0,0
T210943,C18668,946.72,Tiffany & Co.,E-Commerce,9,26,946.4,422.98,Ecuador,Ecuador,33.0,0
T125791,C39932,412.02,Delta Airlines,E-Commerce,32,22,784.34,559.75,Ecuador,Ecuador,98.0,0
T327399,C94418,231.9,Amazon,E-Commerce,29,16,605.19,239.86,Ecuador,Ecuador,62.0,0
T945219,C88627,244.48,Zephora,E-Commerce,20,12,214.04,927.3,Ecuador,Ecuador,105.0,0
T422646,C38928,83.5,Epic Games,E-Commerce,20,33,561.14,731.52,Ecuador,Ecuador,108.0,0
T346041,C87102,544.84,Tiffany & Co.,E-Commerce,22,26,535.31,259.46,Ecuador,Ecuador,7.0,0
T226731,C55732,645.29,Amazon Gift Cards,E-Commerce,34,5,684.9,490.98,Ecuador,Ecuador,108.0,0
T700157,C65515,58.28,Shein,E-Commerce,1,12,417.89,283.18,Peru,Ecuador,91.0,0
T316368,C72840,188.92,Cartier,E-Commerce,35,37,497.92,952.89,Ecuador,Peru,96.0,0
T754215,C50939,675.09,eBay,E-Commerce,15,28,429.78,632.58,Ecuador,Ecuador,105.0,0
T925440,C53695,923.78,American Airlines,E-Commerce,11,35,175.99,942.71,Ecuador,Ecuador,10.0,0
T286237,C87546,23.81,LATAM,E-Commerce,31,11,477.36,637.45,Ecuador,Ecuador,68.0,0
T499007,C43329,811.67,Shein,E-Commerce,13,36,446.43,271.61,Ecuador,Ecuador,34.0,0
T701500,C12641,803.16,Booking,E-Commerce,2,37,407.77,64.28,Ecuador,Ecuador,73.0,0
T715689,C81782,588.75,Shein,E-Commerce,17,17,23.87,579.72,Ecuador,Ecuador,49.0,0
T915441,C56714,671.67,LATAM,E-Commerce,28,8,608.32,883.44,Ecuador,Ecuador,104.0,0
T375162,C98259,92.29,Shein,E-Commerce,23,16,183.17,957.37,Ecuador,Ecuador,30.0,0
T501566,C56252,163.97,Amazon,E-Commerce,30,21,538.1,426.22,Ecuador,Ecuador,54.0,0
T630478,C45834,551.27,Booking,E-Commerce,35,21,113.04,121.7,Ecuador,Ecuador,78.0,0
T398295,C73424,989.02,Cartier,E-Commerce,30,31,721.0,418.48,Ecuador,Ecuador,73.0,0
T314118,C97102,796.8,American Airlines,E-Commerce,27,14,323.58,92.11,Ecuador,Ecuador,63.0,0
T283133,C62464,719.14,Shein,E-Commerce,22,31,576.42,954.91,Ecuador,Ecuador,99.0,0
T124812,C26861,364.89,Tiffany & Co.,E-Commerce,37,36,718.69,555.88,Colombia,Ecuador,31.0,0
